Fehlergrund;Nr.1
"01. ""gelöscht"" Priorisierung anderes Produkt";1
02. Priorisierung OR-Soft;2
03. HIP;3
04. Maschinenausfall / -Fehler;4
05. Krankheitsfall;5
06. Warentransport;6
07. Prozessoptimierung/ -Übertrag;7
08. Prozessprobleme/ -Abweichung;8
09. fehlende Kapazität Maschine;9
10. fehlende Kapazität Mitarbeiter;10
11. fehlende Kapazität PT/Entw.;11
12. fehlende Kapazität AV/Steuerung/Einkauf;12
13. fehlende Kapazität QS;13
14. fehlende Kapazität nicht-OSM;14
15. fehlende Arbeitsmaterialien;15
16. fehlendes Messprotokoll;16
17. fehlender Informationsfluss;17
18. fehlende AAW/PBX/REZ;18
19. fehlende Rückmeldung;19
20. fehlendes Werkzeug;20
21. Lieferprobleme extern;21
22. Inventur;22
23. Wartung/ Umbau;23
24. warten auf Slot;24
25. warten auf Testergebnisse;25
26. Fehlermeldung aktiv;26
27. Kundenfreigabe steht aus;27
28. Querqualifikation/ Aushilfe in Nachbarabteilung;28
29. Keine Information zum Stillstand erhalten;29
30. PK fehlerhaft;30
31. Taktung (zwei Teile pro Arbeitsgang);31
32. fehlende Qualifikation Mitarbeiter;32
33. Nacharbeit;33
34. Ausschuss;34
35. fehlende Prio;35
36. QS Stopp;36
36. Facility Management/ Stromabschaltung;37
;38
;39
;40
;41
;42
;43
;44
;45
;46
;47
;48
;49
;50
;51
;52
;53
;54
;55
;56
;57
;58
;59
;60
;61
;62
;63
;64
;65
;66
;67
;68
;69
;70
;71
;72
;73
;74
;75
;76
;77
;78
;79
;80
;81
;82
;83
;84
;85
;86
;87
;88
;89
;90
;91
;92
;93
;94
;95
;96
;97
;98
;99
;100
;101
;102
;103
;104
;105
;106
;107
;108
;109
;110
;111
;112
;113
;114
;115
;116
;117
;118
;119
;120
;121
;122
;123
;124
;125
;126
;127
;128
;129
;130
;131
;132
;133
;134
;135
;136
;137
;138
;139
;140
;141
;142
;143
;144
;145
;146
;147
;148
;149
;150
;151
;152
;153
;154
;155
;156
;157
;158
;159
;160
;161
;162
;163
;164
;165
;166
;167
;168
;169
;170
;171
;172
;173
;174
;175
;176
;177
;178
;179
;180
;181
;182
;183
;184
;185
;186
;187
;188
;189
;190
;191
;192
;193
;194
;195
;196
;197
;198
;199
;200
